name,cnt,frequency,allfrequency,diff
Unleash the Hounds,503,1.58,1.15,+0.43
Animal Companion,487,1.53,1.25,+0.28
Deadly Shot,304,0.96,0.90,+0.06
Kill Command,284,0.89,0.82,+0.07
Houndmaster,262,0.82,0.68,+0.14
Multi-Shot,249,0.78,0.90,-0.12
Starving Buzzard,240,0.75,0.61,+0.14
Savannah Highmane,222,0.70,0.55,+0.15
Scavenging Hyena,214,0.67,0.54,+0.13
Explosive Trap,184,0.58,0.62,-0.04
Tundra Rhino,173,0.54,0.49,+0.05
Explosive Shot,169,0.53,0.48,+0.05
Arcane Shot,167,0.53,0.57,-0.04
Chillwind Yeti,163,0.51,0.52,-0.01
Eaglehorn Bow,149,0.47,0.40,+0.07
Harvest Golem,144,0.45,0.46,-0.01
Sen'jin Shieldmasta,136,0.43,0.41,+0.02
Tracking,125,0.39,0.39,+0.00
Timber Wolf,116,0.36,0.34,+0.02
Acidic Swamp Ooze,116,0.36,0.44,-0.08
Boulderfist Ogre,115,0.36,0.40,-0.04
Hunter's Mark,111,0.35,0.26,+0.09
Dark Iron Dwarf,105,0.33,0.43,-0.10
Stranglethorn Tiger,105,0.33,0.32,+0.01
Webspinner,102,0.32,0.28,+0.04
Mad Bomber,102,0.32,0.32,+0.00
Dire Wolf Alpha,101,0.32,0.29,+0.03
Shattered Sun Cleric,100,0.31,0.38,-0.07
Argent Commander,99,0.31,0.27,+0.04
Cult Master,98,0.31,0.35,-0.04
Gladiator's Longbow,96,0.30,0.28,+0.02
Scarlet Crusader,94,0.30,0.36,-0.06
Freezing Trap,91,0.29,0.23,+0.06
Bloodfen Raptor,90,0.28,0.30,-0.02
Faerie Dragon,88,0.28,0.35,-0.07
Jungle Panther,88,0.28,0.26,+0.02
River Crocolisk,86,0.27,0.21,+0.06
Azure Drake,85,0.27,0.26,+0.01
Venture Co. Mercenary,84,0.26,0.32,-0.06
Stormwind Champion,83,0.26,0.28,-0.02
Silver Hand Knight,82,0.26,0.34,-0.08
Knife Juggler,82,0.26,0.23,+0.03
Stampeding Kodo,80,0.25,0.23,+0.02
Amani Berserker,80,0.25,0.25,+0.00
