name,cnt,frequency,allfrequency,diff
Soulfire,220,1.44,1.08,+0.36
Flame Imp,195,1.27,1.14,+0.13
Dread Infernal,142,0.93,0.71,+0.22
Mortal Coil,122,0.80,0.60,+0.20
Shadow Bolt,107,0.70,0.89,-0.19
Blood Imp,97,0.63,0.71,-0.08
Dark Iron Dwarf,84,0.55,0.48,+0.07
Demonfire,84,0.55,0.50,+0.05
Harvest Golem,82,0.54,0.51,+0.03
Voidwalker,80,0.52,0.44,+0.08
Siphon Soul,75,0.49,0.38,+0.11
Chillwind Yeti,75,0.49,0.51,-0.02
Shattered Sun Cleric,74,0.48,0.44,+0.04
Hellfire,73,0.48,0.55,-0.07
Doomguard,69,0.45,0.39,+0.06
Amani Berserker,69,0.45,0.34,+0.11
Earthen Ring Farseer,65,0.42,0.40,+0.02
Sen'jin Shieldmasta,64,0.42,0.45,-0.03
Scarlet Crusader,64,0.42,0.43,-0.01
Acidic Swamp Ooze,63,0.41,0.46,-0.05
Power Overwhelming,61,0.40,0.36,+0.04
Faerie Dragon,61,0.40,0.42,-0.02
Dire Wolf Alpha,57,0.37,0.29,+0.08
Stormwind Champion,56,0.37,0.30,+0.07
Knife Juggler,53,0.35,0.27,+0.08
Stranglethorn Tiger,52,0.34,0.26,+0.08
Spellbreaker,51,0.33,0.35,-0.02
Mad Bomber,51,0.33,0.36,-0.03
Worgen Infiltrator,51,0.33,0.29,+0.04
Stampeding Kodo,49,0.32,0.22,+0.10
Boulderfist Ogre,49,0.32,0.39,-0.07
Loot Hoarder,49,0.32,0.32,+0.00
Silver Hand Knight,48,0.31,0.37,-0.06
Argent Commander,47,0.31,0.29,+0.02
Defender of Argus,44,0.29,0.25,+0.04
Stormwind Knight,42,0.27,0.21,+0.06
Cult Master,41,0.27,0.34,-0.07
Youthful Brewmaster,41,0.27,0.29,-0.02
Raging Worgen,39,0.25,0.30,-0.05
Fen Creeper,39,0.25,0.26,-0.01
Bloodfen Raptor,39,0.25,0.28,-0.03
Voidcaller,39,0.25,0.19,+0.06
Flesheating Ghoul,38,0.25,0.24,+0.01
Sunwalker,36,0.24,0.24,+0.00
Azure Drake,35,0.23,0.28,-0.05
Leper Gnome,35,0.23,0.15,+0.08
