name,cnt,frequency,allfrequency,diff
Abomination,24,0.09,0.10,-0.01
Abusive Sergeant,28,0.10,0.11,-0.01
Acidic Swamp Ooze,115,0.42,0.43,-0.01
Acolyte of Pain,62,0.22,0.22,+0.00
Alexstrasza,2,0.01,0.01,+0.00
Amani Berserker,97,0.35,0.29,+0.06
Ancient Brewmaster,47,0.17,0.22,-0.05
Ancient Mage,1,0.00,0.02,-0.02
Ancient Watcher,1,0.00,0.01,-0.01
Arathi Weaponsmith,353,1.28,1.15,+0.13
Arcane Golem,15,0.05,0.06,-0.01
Arcanite Reaper,261,0.95,0.96,-0.01
Archmage,20,0.07,0.08,-0.01
Argent Commander,100,0.36,0.30,+0.06
Argent Squire,26,0.09,0.09,+0.00
Armorsmith,21,0.08,0.11,-0.03
Azure Drake,98,0.36,0.28,+0.08
Baron Geddon,1,0.00,0.00,+0.00
Battle Rage,104,0.38,0.36,+0.02
Big Game Hunter,19,0.07,0.07,+0.00
Blood Knight,14,0.05,0.08,-0.03
Bloodfen Raptor,52,0.19,0.20,-0.01
Bloodsail Corsair,4,0.01,0.02,-0.01
Bloodsail Raider,90,0.33,0.27,+0.06
Bluegill Warrior,23,0.08,0.11,-0.03
Booty Bay Bodyguard,16,0.06,0.05,+0.01
Boulderfist Ogre,131,0.47,0.43,+0.04
Brawl,22,0.08,0.13,-0.05
Cairne Bloodhoof,4,0.01,0.02,-0.01
Captain Greenskin,5,0.02,0.01,+0.01
Charge,12,0.04,0.07,-0.03
Chillwind Yeti,132,0.48,0.50,-0.02
Cleave,193,0.70,0.69,+0.01
Coldlight Oracle,1,0.00,0.01,-0.01
Coldlight Seer,2,0.01,0.01,+0.00
Commanding Shout,57,0.21,0.21,+0.00
Core Hound,1,0.00,0.02,-0.02
Crazed Alchemist,13,0.05,0.06,-0.01
Cruel Taskmaster,273,0.99,0.76,+0.23
Cult Master,90,0.33,0.32,+0.01
Dalaran Mage,1,0.00,0.01,-0.01
Dancing Swords,1,0.00,0.02,-0.02
Dark Iron Dwarf,124,0.45,0.43,+0.02
Darkscale Healer,28,0.10,0.14,-0.04
Death's Bite,98,0.36,0.27,+0.09
Deathlord,9,0.03,0.03,+0.00
Deathwing,8,0.03,0.01,+0.02
Defender of Argus,72,0.26,0.24,+0.02
Demolisher,25,0.09,0.10,-0.01
Dire Wolf Alpha,45,0.16,0.18,-0.02
Doomsayer,1,0.00,0.00,+0.00
Dragonling Mechanic,16,0.06,0.07,-0.01
Dread Corsair,29,0.11,0.10,+0.01
Earthen Ring Farseer,101,0.37,0.35,+0.02
Echoing Ooze,2,0.01,0.01,+0.00
Elven Archer,13,0.05,0.05,+0.00
Emperor Cobra,29,0.11,0.14,-0.03
Execute,129,0.47,0.55,-0.08
Faceless Manipulator,23,0.08,0.11,-0.03
Faerie Dragon,94,0.34,0.37,-0.03
Fen Creeper,65,0.24,0.25,-0.01
Fiery War Axe,374,1.36,1.16,+0.20
Flesheating Ghoul,46,0.17,0.19,-0.02
