text,type,cost,rarity,set,id,name,playRequirements/REQ_TARGET_TO_PLAY,durability,attack,playerClass,flavor,collectible,artist,howToEarnGolden,howToEarn,dust/0,dust/1,dust/2,dust/3,mechanics/0,race,health,textInPlay,playRequirements/REQ_MINION_TARGET,mechanics/1,entourage/0,entourage/1,entourage/2,entourage/3,faction,spellDamage,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/4,entourage/5,entourage/6,targetingArrowText,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_ENEMY_TARGET,playRequirements/REQ_HERO_TARGET,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_ENEMY_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MUST_TARGET_TAUNTER,entourage/7,entourage/8,entourage/9,entourage/10,entourage/11,entourage/12,entourage/13,entourage/14,entourage/15,entourage/16,entourage/17,entourage/18,entourage/19,entourage/20,entourage/21,entourage/22,entourage/23,entourage/24,entourage/25,entourage/26,entourage/27,entourage/28,entourage/29,entourage/30,entourage/31,entourage/32,entourage/33,entourage/34,entourage/35,entourage/36,entourage/37,entourage/38,entourage/39,entourage/40,entourage/41,entourage/42,entourage/43,entourage/44,entourage/45,entourage/46,entourage/47,entourage/48,entourage/49,entourage/50,entourage/51,entourage/52,entourage/53,entourage/54,entourage/55,entourage/56,entourage/57,entourage/58,entourage/59,playRequirements/REQ_STEADY_SHOT,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,playRequirements/REQ_LEGENDARY_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_MINION_OR_ENEMY_HERO,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
Shoot 5 missiles at random enemies for $1 damage each.,SPELL,3,COMMON,MISSIONS,TU4e_005,Flame Burst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restore 5 Health to a character.,SPELL,0,COMMON,CHEAT,XXX_004,Restore 5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Has +3 Attack if the other Horsemen are dead.,WEAPON,3,,NAXX,NAX9_05,Runeblade,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+5/+5 and <b>Taunt</b>.,ENCHANTMENT,,,GVG,GVG_041c,Dark Wispers,,,,DRUID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $2 damage. Restore #2 Health to your hero.,SPELL,3,FREE,CORE,CS2_061,Drain Life,0,,,WARLOCK,"""I've just sucked one year of your life away.""",true,Alex Horley Orlandelli,Unlocked at Level 45.,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+1/+1.,ENCHANTMENT,,,TGT,AT_090e,Might of the Monkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"On Geddon's turn, deal 5 damage to all of your stuff.",ENCHANTMENT,,,BRM,BRMA05_3e,Living Bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+5/+5.,ENCHANTMENT,,,GVG,GVG_019e,Demonheart,,,,WARLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Put 2 random Demons from your deck into your hand.,SPELL,3,COMMON,EXPERT1,EX1_317,Sense Demons,,,,WARLOCK,Generally demons are pretty obvious and you don’t need a spell to sense them.,true,Raven Mimura,,,40,400,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+4 Attack this turn.,ENCHANTMENT,,,EXPERT1,EX1_570e,Bite,,,,,,,,,,,,,,TAG_ONE_TURN_EFFECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Summon a Dreadsteed.,MINION,4,EPIC,TGT,AT_019,Dreadsteed,,,1,WARLOCK,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",true,Alex Horley Orlandelli,,,400,1600,100,400,DEATHRATTLE,DEMON,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Deathrattle:</b> Summon a 3/3 Finkle Einhorn for your opponent.,MINION,6,LEGENDARY,EXPERT1,EX1_577,The Beast,,,9,,He lives in Blackrock Mountain.  He eats Gnomes.  That's pretty much it.,true,Glenn Rane,,,1600,3200,400,1600,DEATHRATTLE,BEAST,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is something in this barrel?,MINION,0,COMMON,MISSIONS,TU4c_003,Barrel,,,0,,,,,,,,,,,DEATHRATTLE,,2,Breakable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever a Murloc is summoned, gain +1 Attack.",MINION,1,RARE,EXPERT1,EX1_509,Murloc Tidecaller,,,1,,This guy gets crazy strong at family reunions.,true,Jaemin Kim,,,100,800,20,100,,MURLOC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deal $1 damage to a minion and give it +2 Attack.,SPELL,0,COMMON,EXPERT1,EX1_607,Inner Rage,0,,,WARRIOR,They're only smiling on the outside.,true,Slawomir Maniak,,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Hero Power</b>
Nefarian rains fire from above!",HERO_POWER,0,,BRM,BRMA17_8,Nefarian Strikes!,,,,,,,,,,,,,,AI_MUST_PLAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Taunt</b>,MINION,3,COMMON,CORE,CS2_125,Ironfur Grizzly,,,3,,"""Bear Carcass 1/10""",true,Lars Grant-West,Unlocked at Hunter Level 59.,,,,,,TAUNT,BEAST,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever your opponent casts a spell, summon a Burly Rockjaw Trogg.",MINION,7,LEGENDARY,GVG,GVG_118,Troggzor the Earthinator,,,6,,He keeps earthinating the countryside despite attempts to stop him.,true,Mike Sass,,,1600,3200,400,1600,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This minion has switched controllers this turn.,ENCHANTMENT,,,EXPERT1,EX1_334e,Shadow Madness,,,,PRIEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whenever another minion takes damage, destroy it.",MINION,7,LEGENDARY,TGT,AT_063,Acidmaw,,,4,HUNTER,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",true,Andrew Hou,,,1600,3200,400,1600,,BEAST,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<b>Battlecry: Silence</b> your other minions.,MINION,4,RARE,NAXX,FP1_016,Wailing Soul,,,3,,"This soul just <i>wails</i> on you. Dang, soul, let up already.",true,Glenn Rane,Can be crafted after defeating Thaddius in the Construct Quarter.,Unlocked by defeating Thaddius in the Construct Quarter.,,,,,BATTLECRY,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This does nothing.,SPELL,0,COMMON,CHEAT,XXX_025,Do Nothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restore 1 Health to a character.,SPELL,0,COMMON,CHEAT,XXX_003,Restore 1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HERO,,,BRM,BRMA06_1,Majordomo Executus,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"At the end of your turn, deal 2 damage to ALL other characters.",MINION,7,LEGENDARY,EXPERT1,EX1_249,Baron Geddon,,,7,,"Baron Geddon was Ragnaros's foremost lieutenant, until he got FIRED.",true,Ian Ameling,,,1600,3200,400,1600,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<b>Passive Hero Power</b>
Whenever a minion is summoned, swap its Attack and Health.",HERO_POWER,0,,BRM,BRMA15_2,The Alchemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When this attacks, restore 4 Health to the hero of the player who buffed it.",ENCHANTMENT,,,TGT,AT_013e,Power Word: Glory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
