playerClass,cost,flavor,rarity,set,collectible,playRequirements/REQ_TARGET_TO_PLAY,id,text,artist,howToEarnGolden,type,name,howToEarn,dust/0,dust/1,dust/2,dust/3,attack,race,health,mechanics/0,playRequirements/REQ_MINION_TARGET,spellDamage,mechanics/1,faction,playRequirements/REQ_NUM_MINION_SLOTS,playRequirements/REQ_TARGET_MIN_ATTACK,entourage/0,entourage/1,entourage/2,entourage/3,entourage/4,entourage/5,entourage/6,targetingArrowText,textInPlay,mechanics/2,playRequirements/REQ_FRIENDLY_TARGET,playRequirements/REQ_NONSELF_TARGET,playRequirements/REQ_TARGET_IF_AVAILABLE,overload,playRequirements/REQ_TARGET_WITH_RACE,playRequirements/REQ_DAMAGED_TARGET,playRequirements/REQ_ENEMY_TARGET,durability,playRequirements/REQ_TARGET_FOR_COMBO,playRequirements/REQ_WEAPON_EQUIPPED,playRequirements/REQ_FRIENDLY_MINION_DIED_THIS_GAME,playRequirements/REQ_MINIMUM_ENEMY_MINIONS,playRequirements/REQ_MUST_TARGET_TAUNTER,playRequirements/REQ_MINIMUM_TOTAL_MINIONS,playRequirements/REQ_UNDAMAGED_TARGET,playRequirements/REQ_TARGET_MAX_ATTACK,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,playRequirements/REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,playRequirements/REQ_HERO_TARGET,entourage/7,playRequirements/REQ_LEGENDARY_TARGET,mechanics/3,playRequirements/REQ_MINION_CAP_IF_TARGET_AVAILABLE
WARLOCK,3,"""I've just sucked one year of your life away.""",FREE,CORE,true,0,CS2_061,Deal 2 damage. Restore #2 Health to your hero.,Alex Horley Orlandelli,Unlocked at Level 45.,SPELL,Drain Life,Unlocked at Level 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK,3,Generally demons are pretty obvious and you don’t need a spell to sense them.,COMMON,EXPERT1,true,,EX1_317,Put 2 random Demons from your deck into your hand.,Raven Mimura,,SPELL,Sense Demons,,40,400,5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARLOCK,4,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",EPIC,TGT,true,,AT_019,<b>Deathrattle:</b> Summon a Dreadsteed.,Alex Horley Orlandelli,,MINION,Dreadsteed,,400,1600,100,400,1,DEMON,1,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,He lives in Blackrock Mountain.  He eats Gnomes.  That's pretty much it.,LEGENDARY,EXPERT1,true,,EX1_577,<b>Deathrattle:</b> Summon a 3/3 Finkle Einhorn for your opponent.,Glenn Rane,,MINION,The Beast,,1600,3200,400,1600,9,BEAST,7,DEATHRATTLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,This guy gets crazy strong at family reunions.,RARE,EXPERT1,true,,EX1_509,"Whenever a Murloc is summoned, gain +1 Attack.",Jaemin Kim,,MINION,Murloc Tidecaller,,100,800,20,100,1,MURLOC,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARRIOR,0,They're only smiling on the outside.,COMMON,EXPERT1,true,0,EX1_607,Deal 1 damage to a minion and give it +2 Attack.,Slawomir Maniak,,SPELL,Inner Rage,,40,400,5,50,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,"""Bear Carcass 1/10""",COMMON,CORE,true,,CS2_125,<b>Taunt</b>,Lars Grant-West,Unlocked at Hunter Level 59.,MINION,Ironfur Grizzly,,,,,,3,BEAST,3,TAUNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,He keeps earthinating the countryside despite attempts to stop him.,LEGENDARY,GVG,true,,GVG_118,"Whenever your opponent casts a spell, summon a Burly Rockjaw Trogg.",Mike Sass,,MINION,Troggzor the Earthinator,,1600,3200,400,1600,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUNTER,7,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",LEGENDARY,TGT,true,,AT_063,"Whenever another minion takes damage, destroy it.",Andrew Hou,,MINION,Acidmaw,,1600,3200,400,1600,4,BEAST,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,"This soul just <i>wails</i> on you. Dang, soul, let up already.",RARE,NAXX,true,,FP1_016,<b>Battlecry: Silence</b> your other minions.,Glenn Rane,Can be crafted after defeating Thaddius in the Construct Quarter.,MINION,Wailing Soul,Unlocked by defeating Thaddius in the Construct Quarter.,,,,,3,,5,BATTLECRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,"Baron Geddon was Ragnaros's foremost lieutenant, until he got FIRED.",LEGENDARY,EXPERT1,true,,EX1_249,"At the end of your turn, deal 2 damage to ALL other characters.",Ian Ameling,,MINION,Baron Geddon,,1600,3200,400,1600,7,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
